,townland,town,population,lat,lng
10466,Brinlack,Mín an Chladaigh,343,55.116667,-8.283333
10467,Broadlea,Feddyglass,8,54.868493,-7.546614553927002
10468,Broadpath,Convoy,23,54.847802900000005,-7.689494075504522
10469,Brockagh (ED Cloghan),An Clochán,22,54.8526152,-7.935476543194854
10470,Brockagh (ED Crovehy),Cró Bheithe,9,54.945556,-8.243333
10471,Brockagh (ED Creenasmear),Críoch na Sméar,22,55.080219,-7.966612254830789
10472,Brockagh (ED Treantamucklagh),Treantaghmucklagh,41,,
10473,Brookfield,Donegal,162,,
10477,Bruckless,Dunkineely,116,54.637075,-8.3867158
10478,Bunawack,Cró Bheithe,17,54.99050805,-8.278206543043936
10479,Bunbeg,Machaire Chlochair,8,55.059722,-8.300278
10480,Buncronan,Tantallon,17,54.63106835,-8.276566859005452
10481,Buncroobog,Na Gleannta,35,54.79401515,-8.245189377420807
10482,Bungosteen,Killybegs,21,54.6747983,-8.417609522942845
10483,Bunnagee,Letterkenny Rural,234,54.9405296,-7.6981313
10484,Bunnamayne,Burt,410,55.030278,-7.388611
10485,Bunnaton,Cnoc Colbha,28,55.173056,-7.580833
10488,Burnside,Figart,25,,
10489,Burnthaw,St. Johnstown,18,54.912803100000005,-7.483020939120672
10490,Burtonport,Inis Mhic an Doirn,47,54.979977,-8.4208746
10491,Cabra Brook,Templedouglas,39,54.97751409999999,-7.861600540989118
10492,Cabra Glebe,Templedouglas,12,54.97023335,-7.869480384145634
10493,Cabry,Whitecastle,82,55.1368019,-7.2040712
10494,Calhame (ED Clonleigh South),Clonleigh South,27,,
10496,Calhame (ED Dunkineely),Dunkineely,84,54.6504692,-8.3775208
10497,Calhame (ED Dunlewy),Dún Lúiche,17,55.12376245,-8.116299030510262
10498,Calhame (ED Killygordon),Killygordon,48,54.81073405,-7.671971212622264
10499,Calhame (ED Urney West),Urney West,5,54.761354600000004,-7.57778654154893
10500,Calhame or Montgomery's fort,Convoy,20,,
10501,Callan,Lettermore,76,54.856667,-7.762222
10502,Callanacor,Lettermore,89,54.8585192,-7.739140739513375
10503,Camblestown,Castlewray,63,54.97785145,-7.669645511873869
10504,Camlin,Carrickboy,10,,
10505,Camp,Ballyshannon Rural,214,,
10507,Cappagh,Gleann Cholm Cille,46,,
10508,Cappry,Dooish,759,54.8,-7.8125
10509,Cappry (Graham),Dooish,26,54.791652850000006,-7.808874434288461
10511,Carlan Lower,An Cheathrú Chaol,12,55.1645148,-7.6551735
10512,Carlan Upper,An Cheathrú Chaol,97,55.15574445,-7.648500624255794
10513,Carmoney,Creamhghort,13,55.13750685,-7.72775825216794
10514,Carn (ED Gleneely),Gleneely,93,54.77585035,-7.7499864458763845
10515,Carn (ED Pettigoe),Pettigoe,31,54.574167,-7.840556
10517,Carn High (ED Rathmelton),Rathmelton,49,55.0584576,-7.6386387
10518,Carn Low,Rathmelton,23,54.7968284,-7.7325637
10521,Carnagarve,Moville,151,55.20963225,-7.026040564678251
10522,Carnaghan,Inch Island,27,55.0592829,-7.4934407
10523,Carnagore,Glen,27,55.1487875,-7.8030136
