,townland,town,population,lat,lng
115,Ballintra (Aran Island),Árainn Mhór,89.0,54.979167000000004,-8.501389
116,Ballintra (ED Ballintra),Ballintra,115.0,54.5774828,-8.125183199999999
117,Balloor,Fánaid Thuaidh,31.0,55.077912600000005,-7.7449482000000005
118,Ballyannan,Desertegny,67.0,55.19545095,-7.46272285051888
119,Ballyara,Killybegs,41.0,54.6559625,-8.474867494244258
120,Ballyargus,Redcastle,229.0,55.166667000000004,-7.1666669999999995
121,Ballyarr,Ballyarr,99.0,55.02852515,-7.70471169607427
122,Ballyarr Glebe,Ballyarr,95.0,55.0343178,-7.70473735429541
123,Ballyarrell,Gleneely,58.0,54.78975605,-7.656611368984886
124,Ballybegly,Newtown Cunningham,67.0,54.990556000000005,-7.586944
125,Ballybegly Little,Manorcunningham,39.0,54.99894435,-7.5735552773199935
126,Ballybobaneen,Allt na Péiste,32.0,54.81766020000001,-7.924752073555249
127,Ballybodonnell,Dunkineely,10.0,54.62365815,-8.353861873310674
128,Ballyboe (ED Convoy),Convoy,83.0,54.8562987,-7.6558118707274625
129,Ballyboe (ED Corravaddy),Corravaddy,48.0,54.9250726,-7.7428805999999994
130,Ballyboe (ED Creeslough),An Craoslach,19.0,55.1096562,-7.9177299588317505
131,Ballyboe (ED Cross Roads),Na Croisbhealaí,114.0,55.14626365,-8.048894869642046
132,Ballyboe (ED Killea),Killea,16.0,54.9886612,-7.421010867669606
133,Ballyboe (ED Rathmelton),Rathmelton,155.0,55.04040815,-7.6507567671182874
134,Ballyboe Glencar,Letterkenny Rural,1809.0,54.9582478,-7.7438218999999995
135,Ballyboencurragh,Castlewray,35.0,54.99265655,-7.678528370944496
136,Ballybofey,Stranorlar,1506.0,54.7990639,-7.7819496
137,Ballybogan,Clonleigh South,28.0,54.80686105,-7.535709032945443
138,Ballybokeel,Rathmelton,9.0,55.033260399999996,-7.630007415373725
139,Ballybolauder,Templedouglas,22.0,54.98029165,-7.8457546787625505
140,Ballybotemple,An Clochán,8.0,54.826467799999996,-7.9166517763288295
141,Ballyboyle,Donegal,41.0,54.6409637,-8.1441356
142,Ballybrack,Moville,213.0,55.2111321,-7.0171141763763565
143,Ballybrollaghan,Tantallon,116.0,54.66479975,-8.23160317931162
144,Ballybulgan,Ballintra,27.0,54.59221735,-8.137283351469776
145,Ballybun,Cloghard,107.0,54.781110999999996,-7.610278
146,Ballybuninabber,An Tearmann,30.0,55.04898845,-7.884431665937803
147,Ballycallan,An Cheathrú Chaol,11.0,55.17156415,-7.621703050113645
148,Ballycharry,Turmone,65.0,55.26877655,-7.097680270765912
149,Ballyconnell,Na Croisbhealaí,165.0,55.14821379999999,-8.090329971642843
150,Ballyconnelly (ED Glenalla),Glenalla,33.0,55.07639925,-7.619882283860723
151,Ballyconnelly (ED Ballymacool),Ballymacool,51.0,54.92752610000001,-7.7876773
152,Ballycramsy,Malin,19.0,55.31455875,-7.3049392941705475
153,Ballycroy,Dunkineely,18.0,54.5925925,-8.417550370058231
154,Ballycushion,Killea,23.0,54.95199055,-7.501709848917952
155,Ballydermot,Ballintra,54.0,54.5830245,-8.06443206545715
156,Ballydevitt,Donegal,60.0,54.6761394,-8.1354071
157,Ballydevitt Beg,Donegal,110.0,54.6693546,-8.129920585156917
158,Ballyederlan,Dunkineely,24.0,54.604167000000004,-8.379167
159,Ballyederowen,Birdstown,462.0,55.05590245,-7.390347329184344
160,Ballygallan,Mín Charraigeach,19.0,54.9123568,-7.89771027138587
161,Ballygawley,Killymasny,22.0,54.8009284,-7.631139999999999
162,Ballygorman,Ardmalin,81.0,55.3575,-7.311667
163,Ballygreen,Rathmelton,16.0,55.037797399999995,-7.566218711732661
164,Ballyhanna,Carrickboy/Ballyshannon Urban,63.0,54.4977353,-8.176197508435493
165,Ballyhasky,Castleforward,431.0,54.99127245,-7.500310493638366
166,Ballyheerin,Fánaid Thiar,67.0,55.1961531,-7.7263674
167,Ballyhiernan,Fánaid Thuaidh,23.0,55.2396733,-7.712803991307247
168,Ballyholey Far,Kincraigy,54.0,54.90878335,-7.580480178604749
169,Ballyholey Near,Figart,66.0,54.89161435,-7.5756023003515764
170,Ballyhoorisky,Fánaid Thiar,22.0,55.245,-7.7425
171,Ballyhork,Fánaid Thiar,19.0,55.21039165,-7.735271027334066
172,Ballykeeran,Kilmacrenan,253.0,55.02537435,-7.765062198152402
173,Ballykenny (ED Ardmalin),Ardmalin,8.0,55.3408265,-7.297985074632287
174,Ballykenny (ED Glenalla),Glenalla,15.0,55.06414960000001,-7.603603813311688
175,Ballykergan,Allt na Péiste,41.0,54.803966,-7.9562419226691725
176,Ballykillowen,Laghy,29.0,54.6366373,-8.014507554353978
177,Ballykinard,Rosnakill,11.0,55.18616095,-7.6789293887546615
178,BallylaSt. (Raphoe South By),Castlefinn,45.0,54.805502000000004,-7.5460210000000005
179,Ballylawn (ED Castlecary),Castlecary,61.0,55.1893437,-7.086883240021473
180,Ballylawn (ED Manorcunningham),Manorcunningham,81.0,54.99090295,-7.585381827897764
181,Ballylennan,Feddyglass,60.0,54.88912270000001,-7.5194985
182,Ballylevin,Manorcunningham,21.0,54.98824739999999,-7.571212700000001
183,Ballyliffin,Ballyliffin,226.0,55.280311899999994,-7.393552900000001
184,Ballylin,Rathmelton,31.0,55.0478691,-7.575731723960666
185,Ballylosky,Glentogher,915.0,55.2360308,-7.2616558294211115
186,Ballyloughan,Killybegs,79.0,54.633611,-8.408611
187,Ballymacahil,Bonnyglen,33.0,54.68597535,-8.253535714821764
188,Ballymacarry,Buncrana Rural/Buncrana Urban,1913.0,55.14443585,-7.441892143340661
189,Ballymacarry Lower,Buncrana Urban,655.0,55.12474355000001,-7.453146649629169
190,Ballymacarthur,Greencastle,203.0,55.22055865,-7.001199365824318
191,Ballymacavany,Pettigoe,15.0,54.5494414,-7.8321521999999995
192,Ballymacaward,Ballyshannon Rural,109.0,54.51467625,-8.240127955707202
193,Ballymackilduff,Dawros,34.0,54.82024505,-8.42279155980108
194,Ballymacmoriarty,Ballyliffin,6.0,55.2941512,-7.366339874354939
195,Ballymacool,Ballymacool,833.0,54.9472497,-7.7640237999999995
196,Ballymacphadin,Cill Charthaigh,26.0,54.66143225,-8.590913532409566
197,Ballymagahy North,Grianfort,13.0,55.207775899999994,-7.666949657631406
198,Ballymagahy South,Rosnakill,13.0,55.19726105,-7.669260818496005
199,Ballymagan Upper and Lower and Clonblosk,Illies,295.0,55.1500265,-7.4258782692042065
200,Ballymagaraghy,Turmone,19.0,55.267714100000006,-7.0544073
201,Ballymagowan,Dunkineely,200.0,54.63558905,-8.350555407391889
202,Ballymagowan Lower,An Cheathrú Chaol,39.0,55.164934499999994,-7.676419800000001
203,Ballymagowan Upper,An Cheathrú Chaol,32.0,55.16902025,-7.664261612016578
204,Ballymagrorty,Cavangarden,7.0,54.55378345,-8.054096867406187
205,Ballymagrorty Irish,Ballintra,38.0,54.5556645,-8.141488967224566
206,Ballymagrorty Scotch,Ballintra,92.0,54.5658863,-8.137086594281781
207,Ballymaleel,Castlewray,109.0,54.98234870000001,-7.671238499999999
208,Ballymichael,Fánaid Thuaidh,20.0,55.2687949,-7.661968232416178
209,Ballymoney,Burt,10.0,55.037778,-7.506944
210,Ballymoon,An Leargaidh Mhór,10.0,54.65384,-8.566732765371484
211,Ballymore Lower,Ards,27.0,55.1600126,-7.916117171281511
212,Ballymore Upper,Ards,24.0,55.1549611,-7.9351845637313305
213,Ballymunterhiggin,Bundoran Rural,81.0,54.47911375,-8.189154121825434
214,Ballynabreen,Clonleigh South,61.0,54.8369609,-7.519649512394887
215,Ballynacarrick (ED Ballintra),Ballintra,63.0,54.56662315,-8.121760467523488
216,Ballynacarrick (ED Carrickboy),Carrickboy,35.0,54.498576,-8.203755000000001
217,Ballynacor,Gleneely,133.0,54.7826465,-7.713108643086973
218,Ballynacraig,Gort an Choirce,70.0,55.10418255,-8.164183674635428
219,Ballynaglack,Stranorlar,88.0,54.81611585,-7.79497574154844
220,Ballynahone (ED Fahan),Fahan,48.0,55.10229155,-7.421269030728962
221,Ballynakeeloge,Illies,13.0,55.161497,-7.377457560177025
222,Ballynakillew Mountain,Ballintra,20.0,54.59635550000001,-7.9989097154182
223,Ballynakilly (ED Inch Island)),Inch Island,32.0,55.0674459,-7.5182705340991065
224,Ballynakilly (ED Templedouglas),Templedouglas,36.0,54.95723725000001,-7.8436814954882506
225,Ballynally,Moville,965.0,55.2076882,-7.03746585508263
226,Ballynalost,Fánaid Thuaidh,5.0,55.25741985,-7.650687079028718
227,Ballynaman (ED Cloghan),An Clochán,18.0,54.8254458,-7.9958657359538785
228,Ballynaman (ED Gleneely),Gleneely,22.0,54.77598715000001,-7.704821011012491
229,Ballynarry,Buncrana Rural,91.0,55.15747935,-7.4778450750548355
230,Ballynascall,Mín an Lábáin,12.0,54.97102035,-7.949387823654221
231,Ballynashannagh,Rosnakill,9.0,55.179722,-7.643333
232,Ballynatone,An Clochán,34.0,54.82194985,-7.855445623498968
233,Ballyness,Na Croisbhealaí,153.0,55.1520644,-7.7924644
234,Ballyraine,Letterkenny Rural,960.0,54.953641299999994,-7.710742801962253
235,Ballyrattan,Castlecary,106.0,55.18534145,-7.097514760296062
236,Ballysaggart,Dunkineely,17.0,54.59400150000001,-8.39885604130534
237,Ballyscanlan Lower,Loch Caol,13.0,55.05883785,-7.744242242603788
238,Ballyscanlan Upper,Loch Caol,17.0,55.05762845,-7.755311432027959
239,Balwoges,Corkermore,35.0,54.6827906,-8.359725476397447
240,Banganboy,An Ghrafaidh,14.0,54.823129200000004,-8.169586068939394
241,Bangort,Cill Ghabhlaigh,9.0,54.7312456,-8.68627451536635
242,Barnes Lower,An Tearmann,33.0,55.073715,-7.825553033247854
243,Barnes Upper,An Tearmann,15.0,55.07241485,-7.847745519431404
244,Barrack,Gortnavern,49.0,54.9274569,-7.865386
245,Barrack or Ballymagig,Killymasny,59.0,54.933537300000005,-7.8683719
246,Baskill,Gleneely,27.0,55.24412125,-7.188177763626034
247,Bauville Keeloges and Clonglash,Buncrana Rural,176.0,55.1325202,-7.39930425891421
248,Bavan,An Leargaidh Mhór,94.0,54.6320077,-8.5433542296941
249,Bayhill,Rathmelton,9.0,55.03390079999999,-7.662120623104062
250,Baylet,Inch Island,24.0,55.054722,-7.461666999999999
251,Beagh,Dawros,35.0,54.79208829999999,-8.429062579895676
252,Beaghmore,Gleann Léithín,5.0,54.84757729999999,-8.175954843288274
253,Beaugreen Glebe,Dunkineely,27.0,54.632059999999996,-8.372908256085715
254,Beefan,Cill Ghabhlaigh,28.0,54.71930545,-8.740786959930148
255,Beefpark,Tantallon,6.0,54.64307505,-8.176588323718239
256,Behy,Ballyshannon Rural,48.0,54.5190216,-8.123849513663592
257,Belalt,Cloghard,33.0,54.543333,-7.889722
258,Belalt North,Templecarn,17.0,54.558789299999994,-7.9144094178037445
259,Belalt South,Templecarn,9.0,54.54353925,-7.925908500404273
260,Belcruit,Inis Mhic an Doirn,219.0,55.01235465,-8.386961576682149
261,Bellaganny,Gleann Gheis,5.0,54.765378500000004,-8.465460539081324
262,Bellanamore,Baile na Finne,50.0,54.869167000000004,-8.055556
263,Bellanascaddan,Edenacarnan,89.0,54.99112855,-7.751810877521753
264,Bellina,Na Croisbhealaí,335.0,55.130818999999995,-8.107514067593694
265,Beltany,Raphoe,60.0,54.84456035,-7.613295000849121
266,Beltany Lower,Dún Lúiche,92.0,55.1053012,-8.134635099999999
267,Beltany Mountain,Dún Lúiche,39.0,55.042919,-8.127943852794294
268,Beltany Upper,Dún Lúiche,53.0,55.0981549,-8.1349121
269,Billary,Pettigoe,22.0,54.54614695,-7.84228172585741
270,Bindoo,Allt na Péiste,26.0,54.822501100000004,-7.958169348347653
271,Binnion (ED St. Johnstown),St. Johnstown,10.0,54.90173420000001,-7.4989304564492985
272,Binnion (ED Straid),Straid,56.0,55.278558499999995,-7.427964625060872
273,Binroe,Killybegs,66.0,54.63121475,-8.420827634238403
274,Birchhill,Clogher,72.0,54.6760419,-8.037421215128587
275,Bircog,Pettigoe,49.0,54.5565714,-7.834277883311173
276,Birdstown,Clonleigh South,31.0,54.86083299999999,-7.472778
277,Birra,Ballintra,10.0,54.5695253,-8.174169031134683
278,Blackrepentance,Castlefinn,7.0,54.83855129999999,-7.665530594102645
279,Blackrock,Clonleigh North,10.0,54.8563703,-7.4762583
280,Blacks Glen,Rathmelton,11.0,55.0509348,-7.661815862777778
281,Blairstown,Killygordon,31.0,54.8049465,-7.6243647
282,Blanket Nook (Raphoe North By),Castleforward,17.0,55.009437,-7.5299190000000005
283,Bogagh,Raphoe,14.0,54.665,-8.613889
284,Bogagh Glebe,Cill Charthaigh,33.0,54.66108785,-8.612265462867686
285,Bogay,Castlewray,59.0,54.994443999999994,-7.4311110000000005
286,Bogay Glebe,Castleforward,12.0,54.9989009,-7.446722084185813
287,Bohanboy,Killygordon,11.0,54.81563415,-7.684032373113295
288,Boheolan,Templedouglas,23.0,55.0076353,-7.8621469890298465
289,Bohirril,Gortnavern,61.0,55.00199665,-7.705339100180652
290,Bohirril Park,Gortnavern,19.0,55.0096907,-7.709710342202463
291,Bohullion Lower,Burt,87.0,55.0138035,-7.477804300000001
292,Bohullion Upper,Burt,43.0,55.01400805,-7.455180237532994
293,Bomany,Ballymacool,181.0,55.138521600000004,-7.413702799999999
294,Bonnyglen,Bonnyglen,11.0,54.663056000000005,-8.257778
295,Booragh,Rathmelton,23.0,55.00615445,-7.689918242740923
296,Boyagh,Clonleigh North,28.0,54.8763932,-7.47311293443479
297,Boyoughter,Leitir Mhic an Bhaird,100.0,54.86806329999999,-8.2936542
298,Braade (ED Annagary),Anagaire,93.0,55.0408976,-8.34219213441062
299,Braade (ED Clonleigh North),Clonleigh North,32.0,54.8571937,-7.487943389841847
300,Braade Upper,Gleann Cholm Cille,15.0,54.7072759,-8.6648548910816
301,Bracky,Gleann Gheis,47.0,54.7516474,-8.431221058372753
302,Braehead,Figart,24.0,54.8732036,-7.620847707823532
303,Bready,Killea,22.0,54.96079985,-7.483720685163016
304,Breaghy (ED Ards),Ards,45.0,55.182660999999996,-7.919143146680829
305,Breaghy (ED Castlefinn),Castlefinn,14.0,54.8194914,-7.599196187098862
306,Breaghy (ED Rathmelton),Rathmelton,29.0,55.0178348,-7.669374652021464
307,Bredagh Glen,Moville,246.0,55.2166461,-7.064082748444296
308,Bree,Ardmalin,79.0,55.347221999999995,-7.306389
309,Breen,Convoy,13.0,54.8794569,-7.758182475441469
310,Breenagh,Suí Corr,42.0,54.931389,-7.907222
311,Brenter,Inver,51.0,54.63923615,-8.335761742486683
312,Bridge End or Drummonaghan,Rathmelton,169.0,55.036446,-7.6619579
313,Brinlack,Mín an Chladaigh,343.0,55.11666700000001,-8.283333
314,Broadlea,Feddyglass,8.0,54.86849300000001,-7.546614553927003
315,Broadpath,Convoy,23.0,54.84780290000001,-7.6894940755045225
316,Brockagh (ED Cloghan),An Clochán,22.0,54.8526152,-7.935476543194853
317,Brockagh (ED Crovehy),Cró Bheithe,9.0,54.945556,-8.243333
318,Brockagh (ED Creenasmear),Críoch na Sméar,22.0,55.08021899999999,-7.96661225483079
319,Brockagh (ED Treantamucklagh),Treantaghmucklagh,41.0,54.920731999999994,-7.535989
320,Brookfield,Donegal,162.0,54.643686599999995,-8.09553399032777
321,Bruckless,Dunkineely,116.0,54.637075,-8.3867158
322,Bunawack,Cró Bheithe,17.0,54.99050805,-8.278206543043936
323,Bunbeg,Machaire Chlochair,8.0,55.059722,-8.300278
324,Buncronan,Tantallon,17.0,54.63106835,-8.276566859005452
325,Buncroobog,Na Gleannta,35.0,54.79401515,-8.245189377420807
326,Bungosteen,Killybegs,21.0,54.6747983,-8.417609522942845
327,Bunnagee,Letterkenny Rural,234.0,54.9405296,-7.698131299999999
328,Bunnamayne,Burt,410.0,55.030278,-7.388611
329,Bunnaton,Cnoc Colbha,28.0,55.173056,-7.580833
330,Burnside,Figart,25.0,54.869683,-7.629663900795272
331,Burnthaw,St. Johnstown,18.0,54.91280310000001,-7.483020939120673
332,Burtonport,Inis Mhic an Doirn,47.0,54.979977000000005,-8.4208746
333,Cabra Brook,Templedouglas,39.0,54.97751409999999,-7.861600540989118
334,Cabra Glebe,Templedouglas,12.0,54.97023335,-7.869480384145634
335,Cabry,Whitecastle,82.0,55.136801899999995,-7.2040712
336,Calhame (ED Clonleigh South),Clonleigh South,27.0,54.829553000000004,-7.5461350000000005
337,Calhame (ED Dunkineely),Dunkineely,84.0,54.6504692,-8.3775208
338,Calhame (ED Dunlewy),Dún Lúiche,17.0,55.12376245,-8.116299030510262
339,Calhame (ED Killygordon),Killygordon,48.0,54.81073405,-7.671971212622263
340,Calhame (ED Urney West),Urney West,5.0,54.7613546,-7.577786541548929
341,Calhame or Montgomery's fort,Convoy,20.0,54.87595699999999,-7.674288000000001
342,Callan,Lettermore,76.0,54.856667,-7.762222
343,Callanacor,Lettermore,89.0,54.8585192,-7.739140739513375
344,Camblestown,Castlewray,63.0,54.97785145,-7.669645511873869
345,Camlin,Carrickboy,10.0,54.494969999999995,-8.193467
346,Camp,Ballyshannon Rural,214.0,54.503974850000006,-8.177458560909223
347,Cappagh,Gleann Cholm Cille,46.0,54.62865065,-8.678869712257097
348,Cappry,Dooish,759.0,54.8,-7.8125
349,Cappry (Graham),Dooish,26.0,54.79165285000001,-7.8088744342884615
350,Carlan Lower,An Cheathrú Chaol,12.0,55.16451479999999,-7.6551735
351,Carlan Upper,An Cheathrú Chaol,97.0,55.15574445,-7.648500624255794
352,Carmoney,Creamhghort,13.0,55.13750685,-7.72775825216794
353,Carn (ED Gleneely),Gleneely,93.0,54.77585035,-7.749986445876384
354,Carn (ED Pettigoe),Pettigoe,31.0,54.574167,-7.840555999999999
355,Carn High (ED Rathmelton),Rathmelton,49.0,55.0584576,-7.6386387000000004
356,Carn Low,Rathmelton,23.0,54.796828399999995,-7.7325637
357,Carnagarve,Moville,151.0,55.20963225,-7.026040564678251
358,Carnaghan,Inch Island,27.0,55.0592829,-7.493440700000001
359,Carnagore,Glen,27.0,55.1487875,-7.8030136
360,Carnamogagh Lower,Letterkenny Rural,973.0,54.9775907,-7.7199477
361,Carnamogagh Upper,Letterkenny Rural,1567.0,54.97381875,-7.7310531912172555
362,Carnamoyle,Kilderry,188.0,55.07761429999999,-7.312010000000001
363,Carnashannagh (ED Fahan),Fahan,67.0,55.06557030000001,-7.4137767899207745
364,Carnatreantagh,Templedouglas,69.0,55.00484165,-7.833617085627432
365,Carnbeagh North,Clogher,42.0,54.66718565,-8.040561431403296
366,Carnbeagh South,Clogher,14.0,54.6638029,-8.040216708928572
367,Carnboy,Anagaire,13.0,55.058516299999994,-8.339894051052983
368,Carndoagh,Carndonagh,68.0,55.26656335,-7.334829706974594
369,Carngarrow,Cnoc Colbha,21.0,55.1602769,-7.5700905345646685
370,Carnowen,Castlefinn,88.0,54.831737399999994,-7.624501423236492
371,Carnshannagh (ED Feddyglass),Feddyglass,12.0,54.8893228,-7.551209064119472
372,Carntressy,Templecarn,10.0,54.548933999999996,-7.887174000000001
373,Carntullagh,Killybegs,24.0,54.624444,-8.430278
374,Carradoan,Rathmullan,13.0,55.1270498,-7.54699055742903
375,Carran Upper and Lower,An Cheathrú Chaol,31.0,55.185243500000006,-7.627717642446885
376,Carranadore,Cloghard,32.0,54.78882125,-7.6398026644413255
