,townland,town,population
10699,Clashygowan,St. Johnstown,13
10700,Cleenagh,Illies,70
10701,Cleenderry,An Machaire,26
10702,Cleengort,Na Gleannta,19
10703,Clehagh,Straid,195
10704,Cloghan,Cill Ghabhlaigh,5
10705,Cloghan Beg,An Clochán,88
10706,Cloghan More,An Clochán,32
10708,Cloghbolie (ED Ballyshannon Rural),Ballyshannon Rural,39
10709,Cloghbolie (ED Maghery),An Machaire,16
10710,Cloghboy,Gleann Gheis,50
10711,Cloghcor (Aran Island),Árainn Mhór,21
10712,Clogher,Clogher,134
10714,Clogher West,Maas,26
10716,Clogheravaddy,Bonnyglen,15
10718,Clogherdillure,Inis Mhic an Doirn,12
10722,Cloghfin (ED Castlefinn),Castlefinn,48
10723,Cloghfin (ED Clonleigh North),Clonleigh North,49
10724,Cloghfin (ED Killea),Killea,89
10726,Cloghglass,Inis Mhic an Doirn,45
10727,Cloghgore,Convoy,9
10728,Cloghore,Carrickboy,67
10729,Cloghroe (ED Edenacarnan),Edenacarnan,18
10730,Cloghroe (ED Lettermore),Lettermore,102
10731,Clonbara,Na Croisbhealaí,60
10732,Clonbeg Glebe,An Craoslach,20
10733,Clonca,Culdaff,65
10734,Cloncarney,Templedouglas,61
10735,Clonclayagh,An Clochán,34
10736,Clonconwal,Ard an Rátha,17
10737,Clondallan,Rathmullan,30
10740,Clonkilly More,Kilmacrenan,43
10741,Clonmany Glebe,Straid,75
10742,Clonmass,Ards,35
10743,Clonmore,Ards,23
10744,Clontallagh,Ros Goill,31
10745,Clontyseer,Carrickboy,25
10746,Cloon,Castleforward,19
10747,Cloonarrell,Gleneely,15
10748,Clooney (ED Maas),Maas,35
10749,Clooney (ED Rathmelton),Rathmelton,74
10750,Clooney and Gortnamona,Fánaid Thiar,7
10752,Cloontagh,Ballyliffin,404
10755,Coguish,Cró Chaorach,17
10756,Colehill,Castleforward,320
10757,Commeen (ED Cloghan),An Clochán,55
10758,Commeen (ED Doocharry),An Dúchoraidh,14
10759,Common (ED Figart),Figart,69
10760,Common (ED Glengesh),Gleann Gheis,35
10764,Coneyburrow,Clonleigh South,239
10765,Connaghkinnagoe,Illies,43
10766,Contycro,Málainn Bhig,14
10767,Convoy Demesne,Convoy,34
10768,Convoy Townparks,Convoy,652
10769,Conwal,Ballymacool,86
10770,Cool Beg,Ballyshannon Rural,19
10772,Cool More,Ballyshannon Rural,24
10773,Cool Upper,Creamhghort,49
10774,Cooladawson,Killygordon,21
10775,Cooladerry (ED Fanad North),Fánaid Thuaidh,29
10776,Cooladerry (ED Raphoe),Raphoe,29
10778,Coolaghy,Feddyglass,11
10780,Coolatee,Clonleigh North,71
10781,Coolback,Grianfort,6
10782,Coolboy Big,Gortnavern,144
10783,Coolboy Little,Gortnavern,20
10784,Coolcholly,Ballyshannon Rural/Ballyshannon Urban,336
10785,Coolshangan,Inver,64
10786,Coolvoy,Gleann Léithín,18
10787,Cooly,Castlecary,67
10788,Coolyslin,Urney West,74
10789,Copany,Tullynaught,50
10790,Cor,Leitir Mhic an Bhaird,18
10791,Corcam,Killygordon,6
10792,Corcashy,Convoy,13
10793,Corcreggan,Dún Fionnachaidh,27
10794,Corcullion,Castlefinn,22
10795,Corderry,Mín an Lábáin,26
10797,Corgary,Knock,170
10800,Corker More,Corkermore,28
10801,Corkey,Kincraigy,94
10802,Corlacky,An Clochán,46
10803,Corlea (ED Cliff),Cliff,40
10806,Cormakilly,Urney West,8
10807,Cormullin,Laghy,29
10808,Cornabrogue,Gleneely,13
10810,Cornagill,Castlewray,108
10811,Cornagillagh,Convoy,15
10813,Cornagullion,Mín an Lábáin,14
10815,Corncamble,Castleforward,5
10816,Corporation,Killybegs,585
10817,Corracramph,Tawnawully,11
10818,Corradooey (ED Convoy),Convoy,20
10819,Corradooey (ED Gleneely),Gleneely,29
10820,Corraffrin,Knock,70
10821,Corraine,Allt na Péiste,67
10822,Corranagh,Magheraboy,191
10823,Corraness Glebe,Ard an Rátha,7
10825,Corry,Grianfort,21
10826,Corveen (ED Clogher),Clogher,43
10827,Corveen (ED Meenaclady),Mín an Chladaigh,6
10829,Cottian,Kilmacrenan,17
10830,Cottown,Raphoe,8
10831,Court,Loch Caol,30
10833,Coxtown,Ballintra,23
10834,Craghy (ED Dunglow),An Clochán Liath,21
10836,Craig (ED Creeslough),An Craoslach,15
10837,Craig (ED Kilderry),Kilderry,237
10839,Craigmaddyroe Far,Rathmullan,40
10842,Craigs (ED Figart),Figart,8
10843,Craigtown (ED Cross Roads),Na Croisbhealaí,23
10844,Craigtown (ED Fahan),Fahan,23
10845,Cranford,Creamhghort,138
10846,Crannogeboy,Gleann Gheis,47
10847,Cranny Lower,Bonnyglen,106
10849,Cratlagh,Millford,67
10850,Creaghadoos,Feddyglass,113
10851,Creatland,St. Johnstown,44
10852,Creehennan,Whitecastle,51
10854,Creenasmear,Críoch na Sméar,14
10856,Creeslough,An Craoslach,300
10857,Creevagh,Glen,24
10858,Creeve,Castleforward,31
10859,Creeve (Smith),Ballymacool,576
10860,Creeve Glebe,Ballymacool,89
10861,Creeveoughter,Cnoc Colbha,38
10862,Creevins,Tantallon,36
10863,Creevy,Ballyshannon Rural,157
10864,Creggan (ED Figart),Figart,19
10865,Creggan (ED Stranorlar),Stranorlar,126
10866,Crevary Lower,Rathmullan,20
10867,Crevary Upper,Rathmullan,35
